hora;NS;NsPrevisto;tme;tma;HC
00h;0;0,8;400;324;76
01h;0;0,8;473;399;193
02h;0;0,8;529;185;141
03h;0;0,8;560;468;89
04h;1;0,8;266;290;162
05h;0;0,8;447;356;8
06h;0,3;0,8;243;368;280
07h;0,75;0,8;541;439;76
08h;0,75;0,8;524;343;235
09h;0,75;0,8;225;497;285
10h;0,7;0,8;266;434;173
11h;0,85;0,8;177;513;125
12h;0,85;0,8;327;564;169
13h;0,85;0,8;222;522;206
14h;0,85;0,8;530;333;251
15h;0,85;0,8;297;406;166
16h;0;0,8;335;184;102
17h;0;0,8;0;533;94
18h;0;0,8;0;467;10
19h;0;0,8;0;274;29
20h;0;0,8;0;302;245
21h;0;0,8;0;312;87
22h;0;0,8;0;403;204
23h;0;0,8;0;295;85
